City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
0,Hermanus,ZA,2020-04-05 12:46:37,-34.42,19.23,69.01,68,56,8.01,broken clouds,0.0,0.0
1,Punta Arenas,CL,2020-04-05 12:45:44,-53.15,-70.92,39.2,80,20,23.04,few clouds,0.0,0.0
2,Busselton,AU,2020-04-05 12:39:36,-33.65,115.33,64.99,39,90,13.18,overcast clouds,0.0,0.0
3,Yar-Sale,RU,2020-04-05 12:39:45,66.83,70.83,33.6,99,100,6.64,overcast clouds,0.0,0.0
4,Torbay,CA,2020-04-05 12:43:05,47.67,-52.73,30.99,79,90,12.75,overcast clouds,0.0,0.0
5,Karak,JO,2020-04-05 12:46:39,31.17,35.75,86.0,17,100,6.93,haze,0.0,0.0
6,Havre-Saint-Pierre,CA,2020-04-05 12:39:20,50.23,-63.6,30.2,92,90,6.93,overcast clouds,0.0,0.0
7,Port Alfred,ZA,2020-04-05 12:39:25,-33.59,26.89,69.01,86,21,4.0,few clouds,0.0,0.0
8,Ushuaia,AR,2020-04-05 12:46:40,-54.8,-68.3,37.4,85,75,23.04,broken clouds,0.0,0.0
9,Jamestown,US,2020-04-05 12:44:47,42.1,-79.24,48.0,81,75,1.72,broken clouds,0.0,0.0
10,Kruisfontein,ZA,2020-04-05 12:46:41,-34.0,24.73,70.25,62,91,13.76,overcast clouds,0.0,0.0
11,Dikson,RU,2020-04-05 12:39:33,73.51,80.55,20.34,98,100,3.42,light snow,0.0,0.32
12,Bredasdorp,ZA,2020-04-05 12:44:08,-34.53,20.04,78.8,29,44,19.46,scattered clouds,0.0,0.0
13,Codrington,AU,2020-04-05 12:39:52,-38.27,141.97,54.03,77,68,11.92,light rain,0.35,0.0
14,Grand Gaube,MU,2020-04-05 12:39:17,-20.01,57.66,82.99,74,75,11.41,broken clouds,0.0,0.0
15,Vila Franca Do Campo,PT,2020-04-05 12:40:31,37.72,-25.43,59.0,93,75,12.75,broken clouds,0.0,0.0
16,Itupeva,BR,2020-04-05 12:46:43,-23.15,-47.06,70.0,68,2,8.05,clear sky,0.0,0.0
17,Melilla,ES,2020-04-05 12:46:43,35.29,-2.94,66.2,77,90,9.17,overcast clouds,0.0,0.0
18,Saint Anthony,US,2020-04-05 12:40:57,45.02,-93.22,32.0,92,75,5.82,broken clouds,0.0,0.0
19,Necochea,AR,2020-04-05 12:41:02,-38.55,-58.74,62.01,88,32,3.0,scattered clouds,0.0,0.0
20,Ilulissat,GL,2020-04-05 12:40:11,69.22,-51.1,6.8,50,0,24.16,clear sky,0.0,0.0
21,Khanpur,PK,2020-04-05 12:46:45,28.65,70.66,96.87,14,0,4.79,clear sky,0.0,0.0
22,Qaqortoq,GL,2020-04-05 12:41:17,60.72,-46.03,23.0,32,99,40.26,overcast clouds,0.0,0.0
23,Ponta Do Sol,PT,2020-04-05 12:39:55,32.67,-17.1,69.8,77,40,16.11,scattered clouds,0.0,0.0
24,Pimentel,PE,2020-04-05 12:41:51,-6.84,-79.93,66.2,29,77,10.29,light rain,0.61,0.0
25,Port Elizabeth,ZA,2020-04-05 12:46:46,-33.92,25.57,69.8,68,72,20.8,broken clouds,0.0,0.0
26,Longyearbyen,SJ,2020-04-05 12:39:43,78.22,15.64,5.0,60,20,6.93,few clouds,0.0,0.0
27,Marawi,PH,2020-04-05 12:40:34,8.0,124.29,69.28,73,33,2.55,light rain,0.14,0.0
28,Bambous Virieux,MU,2020-04-05 12:41:02,-20.34,57.76,82.99,74,75,11.41,broken clouds,0.0,0.0
29,Georgetown,MY,2020-04-05 12:38:43,5.41,100.34,78.8,100,20,1.12,thunderstorm with light rain,0.0,0.0
30,Muros,ES,2020-04-05 12:46:48,42.78,-9.06,61.0,93,90,14.99,light rain,0.0,0.0
31,Agadir,MA,2020-04-05 12:42:31,30.42,-9.6,75.2,50,28,10.29,scattered clouds,0.0,0.0
32,Dingle,PH,2020-04-05 12:39:52,11.0,122.67,79.79,71,0,7.2,clear sky,0.0,0.0
33,Nantucket,US,2020-04-05 12:40:41,41.28,-70.1,43.0,81,90,4.7,overcast clouds,0.0,0.0
34,Uri,IN,2020-04-05 12:46:50,34.08,74.03,59.07,29,100,2.28,light rain,0.54,0.0
35,Lubao,PH,2020-04-05 12:40:16,14.92,120.55,86.0,45,20,2.98,few clouds,0.0,0.0
36,Arraial Do Cabo,BR,2020-04-05 12:39:18,-22.97,-42.03,78.8,69,20,10.29,few clouds,0.0,0.0
37,Touros,BR,2020-04-05 12:40:03,-5.2,-35.46,86.0,79,75,6.93,broken clouds,0.0,0.0
38,Dwarka,IN,2020-04-05 12:41:05,22.24,68.97,80.47,70,3,14.72,clear sky,0.0,0.0
39,Qaanaaq,GL,2020-04-05 12:39:31,77.48,-69.36,16.32,85,100,7.4,overcast clouds,0.0,0.0
40,Namibe,AO,2020-04-05 12:40:49,-15.2,12.15,77.56,65,14,10.09,few clouds,0.0,0.0
41,Veinticinco De Mayo,AR,2020-04-05 12:46:53,-35.43,-60.17,62.11,60,27,5.57,scattered clouds,0.0,0.0
42,Sabratah,LY,2020-04-05 12:46:53,32.79,12.49,63.01,54,61,9.15,broken clouds,0.0,0.0
43,Oranjemund,NA,2020-04-05 12:46:53,-28.55,16.43,66.31,67,42,13.38,scattered clouds,0.0,0.0
44,San Carlos,VE,2020-04-05 12:46:54,9.66,-68.58,82.15,67,90,3.83,overcast clouds,0.0,0.0
45,Klaksvik,FO,2020-04-05 12:39:31,62.23,-6.59,46.4,87,100,31.09,light rain,0.0,0.0
46,Opatovice Nad Labem,CZ,2020-04-05 12:46:54,50.15,15.79,59.0,24,0,13.87,clear sky,0.0,0.0
47,Ushtobe,KZ,2020-04-05 12:40:51,45.25,77.98,72.43,23,98,3.74,overcast clouds,0.0,0.0
48,Praia Da Vitoria,PT,2020-04-05 12:46:56,38.73,-27.07,55.4,93,75,12.26,light rain,0.0,0.0
49,Husavik,IS,2020-04-05 12:39:26,66.04,-17.34,24.8,85,90,36.91,light snow,0.0,0.0
50,Rawicz,PL,2020-04-05 12:46:56,51.61,16.86,57.99,33,1,8.05,clear sky,0.0,0.0
51,East London,ZA,2020-04-05 12:46:57,-33.02,27.91,69.8,77,29,14.99,scattered clouds,0.0,0.0
52,Talavera,PH,2020-04-05 12:46:57,15.62,120.93,84.2,45,20,4.83,few clouds,0.0,0.0
53,Lebu,CL,2020-04-05 12:40:07,-37.62,-73.65,52.7,75,17,8.1,few clouds,0.0,0.0
54,Kasane,BW,2020-04-05 12:46:58,-17.82,25.15,86.0,45,40,6.93,scattered clouds,0.0,0.0
55,Pedernales,DO,2020-04-05 12:46:58,18.04,-71.74,73.4,94,20,4.7,few clouds,0.0,0.0
56,Falun,SE,2020-04-05 12:46:59,60.6,15.63,46.0,75,99,10.29,drizzle,0.0,0.0
57,San Matias,BO,2020-04-05 12:46:59,-16.37,-58.4,79.12,82,87,5.28,overcast clouds,0.0,0.0
58,Kecel,HU,2020-04-05 12:47:00,46.53,19.25,66.99,31,0,11.41,clear sky,0.0,0.0
59,Lagoa,PT,2020-04-05 12:39:48,39.05,-27.98,56.86,77,100,17.27,overcast clouds,0.0,0.0
60,Chuy,UY,2020-04-05 12:40:00,-33.7,-53.46,65.39,69,14,7.54,few clouds,0.0,0.0
61,Raudeberg,NO,2020-04-05 12:47:01,61.99,5.14,50.0,66,99,23.04,light rain,0.15,0.0
62,Rocha,UY,2020-04-05 12:41:03,-34.48,-54.33,66.42,60,0,6.71,clear sky,0.0,0.0
63,Umm Kaddadah,SD,2020-04-05 12:47:02,13.6,26.69,104.34,5,72,15.21,broken clouds,0.0,0.0
64,Anloga,GH,2020-04-05 12:42:11,5.79,0.9,89.6,59,20,9.17,few clouds,0.0,0.0
65,Cidreira,BR,2020-04-05 12:39:47,-30.18,-50.21,69.84,72,0,8.48,clear sky,0.0,0.0
66,Vigeland,NO,2020-04-05 12:47:03,58.08,7.3,50.0,57,80,13.87,broken clouds,0.0,0.0
67,Cape Town,ZA,2020-04-05 12:44:47,-33.93,18.42,68.0,64,75,18.34,broken clouds,0.0,0.0
68,Micheweni,TZ,2020-04-05 12:47:03,-4.97,39.83,85.5,66,49,9.84,light rain,0.44,0.0
69,Aurillac,FR,2020-04-05 12:41:47,44.92,2.45,69.01,31,0,16.11,clear sky,0.0,0.0
70,Pisco,PE,2020-04-05 12:47:04,-13.7,-76.22,71.6,30,75,3.36,mist,0.0,0.0
71,Pangnirtung,CA,2020-04-05 12:41:50,66.15,-65.71,10.74,77,0,7.29,clear sky,0.0,0.0
72,Victoria,HK,2020-04-05 12:40:00,22.29,114.16,64.4,88,40,5.82,scattered clouds,0.0,0.0
73,Krasnoarmeysk,RU,2020-04-05 12:39:30,51.02,45.7,52.0,7,20,7.0,few clouds,0.0,0.0
74,Sao Filipe,CV,2020-04-05 12:40:15,14.9,-24.5,74.95,71,2,16.13,clear sky,0.0,0.0
75,Vestmannaeyjar,IS,2020-04-05 12:41:07,63.44,-20.27,32.0,95,90,3.36,light snow,0.0,0.0
76,Kavaratti,IN,2020-04-05 12:41:56,10.57,72.64,89.6,62,20,5.82,few clouds,0.0,0.0
77,Saint-Philippe,RE,2020-04-05 12:47:06,-21.36,55.77,82.4,69,20,24.16,few clouds,0.0,0.0
78,Sorland,NO,2020-04-05 12:40:08,67.67,12.69,29.62,86,100,10.2,light snow,0.0,0.14
79,Hofn,IS,2020-04-05 12:40:05,64.25,-15.21,31.66,94,100,27.09,moderate rain,4.63,0.0
80,Vieux-Habitants,GP,2020-04-05 12:47:07,16.06,-61.77,82.4,74,75,10.29,broken clouds,0.0,0.0
81,Mar Del Plata,AR,2020-04-05 12:40:12,-38.0,-57.56,66.99,93,61,4.7,broken clouds,0.0,0.0
82,Cayenne,GF,2020-04-05 12:39:25,4.93,-52.33,84.2,74,90,9.17,overcast clouds,0.0,0.0
83,Ampanihy,MG,2020-04-05 12:42:00,-24.7,44.75,89.38,30,100,4.5,overcast clouds,0.0,0.0
84,Murwara,IN,2020-04-05 12:47:08,23.85,80.4,96.24,8,0,8.48,clear sky,0.0,0.0
85,Atar,MR,2020-04-05 12:47:09,20.52,-13.05,90.16,18,0,11.74,clear sky,0.0,0.0
86,Zapolyarnyy,RU,2020-04-05 12:41:15,69.42,30.81,28.4,68,100,21.92,light snow,0.0,0.9
87,Kisangani,CD,2020-04-05 12:40:00,0.52,25.2,78.62,72,100,4.45,light rain,1.58,0.0
88,Nouadhibou,MR,2020-04-05 12:47:10,20.93,-17.03,77.0,53,0,18.34,clear sky,0.0,0.0
89,Bengkulu,ID,2020-04-05 12:42:22,-3.8,102.27,79.86,81,100,3.42,moderate rain,4.0,0.0
90,Jalu,LY,2020-04-05 12:41:24,29.03,21.55,73.33,31,0,14.14,clear sky,0.0,0.0
91,Salalah,OM,2020-04-05 12:47:11,17.02,54.09,86.0,62,0,13.87,clear sky,0.0,0.0
92,Clyde River,CA,2020-04-05 12:40:45,70.47,-68.59,6.8,71,75,25.28,broken clouds,0.0,0.0
93,Lages,BR,2020-04-05 12:36:52,-27.82,-50.33,60.51,57,68,4.38,broken clouds,0.0,0.0
94,Illapel,CL,2020-04-05 12:47:12,-31.63,-71.17,66.38,55,100,0.94,overcast clouds,0.0,0.0
95,Crisan,RO,2020-04-05 12:47:12,44.97,29.47,59.0,21,38,24.16,scattered clouds,0.0,0.0
96,Tabou,CI,2020-04-05 12:41:53,4.42,-7.35,88.57,64,76,6.04,broken clouds,0.0,0.0
97,Zilair,RU,2020-04-05 12:47:13,52.23,57.44,45.5,62,55,8.81,broken clouds,0.0,0.0
98,Upernavik,GL,2020-04-05 12:39:32,72.79,-56.15,7.84,77,2,4.5,clear sky,0.0,0.0
99,Laguna,US,2020-04-05 12:40:25,38.42,-121.42,53.6,87,75,4.7,broken clouds,0.0,0.0
100,Hadejia,NG,2020-04-05 12:47:14,12.45,10.04,105.03,15,96,7.54,overcast clouds,0.0,0.0
101,Minas,UY,2020-04-05 12:47:14,-34.38,-55.24,64.4,72,16,5.82,few clouds,0.0,0.0
102,Korla,CN,2020-04-05 12:41:18,41.76,86.15,64.62,18,38,8.75,scattered clouds,0.0,0.0
103,Sao Jose Da Coroa Grande,BR,2020-04-05 12:40:08,-8.9,-35.15,84.51,75,81,9.33,broken clouds,0.0,0.0
104,Kormilovka,RU,2020-04-05 12:47:15,55.0,74.1,53.6,32,75,15.66,broken clouds,0.0,0.0
105,Siva,EG,2020-04-05 12:47:16,29.2,25.52,76.78,28,0,16.13,clear sky,0.0,0.0
106,Bourg-En-Bresse,FR,2020-04-05 12:47:16,46.17,5.17,70.0,24,0,17.22,clear sky,0.0,0.0
107,Hobyo,SO,2020-04-05 12:39:46,5.35,48.53,88.02,55,78,16.11,broken clouds,0.0,0.0
108,Luderitz,NA,2020-04-05 12:39:34,-26.65,15.16,64.4,72,14,11.41,few clouds,0.0,0.0
109,Porto Novo,BJ,2020-04-05 12:42:00,6.5,2.6,89.6,62,100,5.82,overcast clouds,0.0,0.0
110,Impfondo,CG,2020-04-05 12:47:17,1.64,18.07,100.0,31,66,3.06,broken clouds,0.0,0.0
111,Leh,IN,2020-04-05 12:47:18,34.17,77.58,26.89,22,97,1.59,overcast clouds,0.0,0.0
112,Maryville,US,2020-04-05 12:47:18,35.76,-83.97,55.99,76,90,1.39,overcast clouds,0.0,0.0
113,Narsaq,GL,2020-04-05 12:39:39,60.92,-46.05,23.0,32,100,40.26,overcast clouds,0.0,0.0
114,Ribeira Brava,PT,2020-04-05 12:47:19,32.65,-17.07,69.8,77,40,16.11,scattered clouds,0.0,0.0
115,Herat,AF,2020-04-05 12:47:19,34.5,62.0,71.6,37,75,4.7,shower rain,0.0,0.0
116,Castro,BR,2020-04-05 12:45:30,-24.79,-50.01,64.6,49,16,3.06,few clouds,0.0,0.0
117,North Miami Beach,US,2020-04-05 12:47:20,25.93,-80.16,78.01,73,1,5.86,clear sky,0.0,0.0
118,Naberera,TZ,2020-04-05 12:47:20,-4.2,36.93,74.68,49,54,7.4,moderate rain,3.38,0.0
119,Marfino,RU,2020-04-05 12:47:20,55.7,37.38,41.0,40,40,17.9,scattered clouds,0.0,0.0
120,Nanortalik,GL,2020-04-05 12:39:50,60.14,-45.24,26.19,80,70,23.73,broken clouds,0.0,0.0
121,Souillac,MU,2020-04-05 12:40:15,-20.52,57.52,82.99,74,75,11.41,broken clouds,0.0,0.0
122,Pauini,BR,2020-04-05 12:47:21,-7.71,-66.98,76.66,88,100,1.12,overcast clouds,0.0,0.0
123,Mezhdurechensk,RU,2020-04-05 12:47:22,53.69,88.06,43.03,57,0,5.64,clear sky,0.0,0.0
124,Honningsvag,NO,2020-04-05 12:47:22,70.98,25.97,32.49,84,62,14.63,broken clouds,0.0,0.0
125,Clarence Town,AU,2020-04-05 12:47:22,-32.58,151.78,64.99,59,0,6.93,clear sky,0.0,0.0
126,Koungou,YT,2020-04-05 12:47:23,-12.73,45.2,89.6,62,20,9.17,few clouds,0.0,0.0
127,Saint-Pierre,RE,2020-04-05 12:47:23,-21.34,55.48,82.4,69,20,24.16,few clouds,0.0,0.0
128,Bandarbeyla,SO,2020-04-05 12:47:23,9.49,50.81,85.12,52,95,9.53,overcast clouds,0.0,0.0
129,Vage,NO,2020-04-05 12:47:24,60.05,5.52,55.0,61,85,16.11,light rain,0.17,0.0
130,Novorzhev,RU,2020-04-05 12:47:24,57.03,29.33,44.37,51,69,12.28,broken clouds,0.0,0.0
131,Lisakovsk,KZ,2020-04-05 12:47:25,52.54,62.49,51.37,51,73,13.09,broken clouds,0.0,0.0
132,Coquimbo,CL,2020-04-05 12:42:12,-29.95,-71.34,57.2,93,20,3.36,few clouds,0.0,0.0
133,Neuquen,AR,2020-04-05 12:47:25,-38.95,-68.06,51.8,57,2,6.93,clear sky,0.0,0.0
134,Buraydah,SA,2020-04-05 12:41:19,26.33,43.98,93.2,30,0,9.17,clear sky,0.0,0.0
135,Daloa,CI,2020-04-05 12:47:26,6.88,-6.45,96.31,40,12,3.33,few clouds,0.0,0.0
136,Diamantino,BR,2020-04-05 12:47:26,-14.41,-56.45,79.07,75,96,3.78,overcast clouds,0.0,0.0
137,Santa Ana,US,2020-04-05 12:44:35,33.75,-117.87,59.0,82,90,3.36,light rain,0.25,0.0
138,Talnakh,RU,2020-04-05 12:47:27,69.49,88.4,32.0,93,40,24.61,light snow,0.0,0.0
139,Vuktyl,RU,2020-04-05 12:47:27,63.86,57.31,32.43,91,97,10.54,light snow,0.0,0.83
140,Turayf,SA,2020-04-05 12:47:28,31.67,38.66,86.0,22,100,18.34,overcast clouds,0.0,0.0
141,Bristol,US,2020-04-05 12:47:28,41.83,-71.17,45.0,87,90,3.47,overcast clouds,0.0,0.0
142,Hidrolandia,BR,2020-04-05 12:47:29,-4.41,-40.44,82.72,75,42,2.51,scattered clouds,0.0,0.0
143,Bata,GQ,2020-04-05 12:47:29,1.86,9.77,89.6,70,40,8.05,scattered clouds,0.0,0.0
144,Saint George,US,2020-04-05 12:36:02,37.1,-113.58,54.0,46,1,12.75,clear sky,0.0,0.0
145,Hithadhoo,MV,2020-04-05 12:39:28,-0.6,73.08,83.08,76,87,9.4,overcast clouds,0.0,0.0
146,Abrau-Dyurso,RU,2020-04-05 12:45:48,44.69,37.59,60.8,52,20,22.37,few clouds,0.0,0.0
147,Viedma,AR,2020-04-05 12:42:47,-40.81,-63.0,57.72,65,29,15.97,scattered clouds,0.0,0.0
148,Najran,SA,2020-04-05 12:41:04,17.49,44.13,93.2,24,5,6.93,dust,0.0,0.0
149,Chinsali,ZM,2020-04-05 12:47:32,-10.54,32.08,80.62,42,34,1.72,light rain,0.14,0.0
150,Tabas,IR,2020-04-05 12:47:32,33.6,56.92,75.54,14,33,17.74,scattered clouds,0.0,0.0
151,Araouane,ML,2020-04-05 12:41:56,18.9,-3.53,100.22,7,0,7.85,clear sky,0.0,0.0
152,Saldanha,ZA,2020-04-05 12:39:38,-33.01,17.94,69.8,56,100,12.75,overcast clouds,0.0,0.0
153,Nigel,ZA,2020-04-05 12:47:33,-26.43,28.48,73.99,43,0,7.11,clear sky,0.0,0.0
154,Rome,US,2020-04-05 12:47:33,34.26,-85.16,59.0,81,1,4.7,clear sky,0.0,0.0
155,Iqaluit,CA,2020-04-05 12:39:46,63.75,-68.51,-4.0,70,5,16.11,clear sky,0.0,0.0
156,San Cristobal,VE,2020-04-05 12:40:55,7.77,-72.22,80.6,69,40,4.7,scattered clouds,0.0,0.0
157,Catumbela,AO,2020-04-05 12:47:34,-12.43,13.55,82.27,74,27,8.7,light rain,0.66,0.0
158,Camargo,MX,2020-04-05 12:41:03,27.67,-105.17,62.1,31,100,4.52,overcast clouds,0.0,0.0
159,Aksum,ET,2020-04-05 12:47:35,14.12,38.72,87.42,7,8,15.68,clear sky,0.0,0.0
160,Snezhnogorsk,RU,2020-04-05 12:47:35,69.19,33.25,30.2,63,75,11.18,broken clouds,0.0,0.0
161,Caravelas,BR,2020-04-05 12:40:03,-17.71,-39.25,79.77,77,98,13.24,light rain,0.11,0.0
162,Oum Hadjer,TD,2020-04-05 12:47:36,13.3,19.7,108.45,10,52,2.21,broken clouds,0.0,0.0
163,Maldonado,UY,2020-04-05 12:42:23,-34.67,-54.92,64.4,72,7,5.82,clear sky,0.0,0.0
164,Mazamari,PE,2020-04-05 12:47:36,-11.33,-74.53,71.78,62,65,0.29,light rain,1.49,0.0
165,Caririacu,BR,2020-04-05 12:47:37,-7.04,-39.28,77.74,72,89,2.8,overcast clouds,0.0,0.0
166,Wattwil,CH,2020-04-05 12:47:37,47.3,9.09,64.99,39,0,3.36,clear sky,0.0,0.0
167,Tasiilaq,GL,2020-04-05 12:47:37,65.61,-37.64,14.0,47,20,5.82,few clouds,0.0,0.0
168,Saint-Augustin,CA,2020-04-05 12:47:38,51.23,-58.65,24.76,96,96,6.15,light snow,0.0,0.26
169,Rovaniemi,FI,2020-04-05 12:47:17,66.5,25.72,28.4,36,0,11.41,clear sky,0.0,0.0
170,Mogadishu,SO,2020-04-05 12:45:54,2.04,45.34,89.6,59,40,12.75,scattered clouds,0.0,0.0
171,Paamiut,GL,2020-04-05 12:42:13,61.99,-49.67,25.86,82,100,9.82,overcast clouds,0.0,0.0
172,Beinamar,TD,2020-04-05 12:47:39,8.67,15.38,112.05,16,46,2.93,scattered clouds,0.0,0.0
173,Marica,BR,2020-04-05 12:47:39,-22.92,-42.82,96.8,78,75,3.36,broken clouds,0.0,0.0
174,Bud,US,2020-04-05 12:41:38,39.45,-86.18,46.0,87,90,6.93,overcast clouds,0.0,0.0
175,Pionerskiy,RU,2020-04-05 12:43:46,54.95,20.23,53.6,46,0,6.71,clear sky,0.0,0.0
176,Uige,AO,2020-04-05 12:46:58,-7.61,15.06,80.6,74,75,6.93,broken clouds,0.0,0.0
177,Forio,IT,2020-04-05 12:47:41,40.73,13.86,68.0,28,40,17.22,scattered clouds,0.0,0.0
178,Sanchor,IN,2020-04-05 12:47:41,24.76,71.77,101.35,9,23,11.79,few clouds,0.0,0.0
179,Prozor,BA,2020-04-05 12:47:41,43.82,17.61,59.0,28,20,13.87,few clouds,0.0,0.0
180,Brekstad,NO,2020-04-05 12:47:42,63.69,9.67,39.99,69,75,23.04,light rain,0.0,0.0
181,Trinidad,BO,2020-04-05 12:37:10,-14.83,-64.9,78.8,94,75,1.9,broken clouds,0.0,0.0
